scenario,optimizer,learning_rate,batch_size,l2,seed,epochs,epoch,training_loss
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,24,0.37364452618642935
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,25,0.37213203924376437
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,26,0.3706601331544072
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,27,0.3692265125207928
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,28,0.36782908660950453
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,29,0.3664659640561803
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,30,0.3651354128377503
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,31,0.3638358503170933
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,32,0.3625658194453234
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,33,0.36132397860516885
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,34,0.36010908634021443
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,35,0.3589199924803256
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,36,0.35775562767785135
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,37,0.35661499610087644
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,38,0.35549716788376057
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,39,0.3544012732499687
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,40,0.3533264968520482
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,41,0.35227207307547986
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,42,0.35123728167431606
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,43,0.3502214440124133
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,44,0.3492239196272683
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,45,0.3482441032041665
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,46,0.3472814218271347
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,47,0.3463353325245517
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,48,0.34540532004133473
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,49,0.344490894831663
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,50,0.34359159123397726
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,51,0.3427069658158116
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,52,0.3418365958646901
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,53,0.34098007801243735
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,54,0.34013702697682113
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,55,0.3393070744095362
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,56,0.33848986783894813
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,57,0.3376850696985663
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,58,0.33689235643254833
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,59,0.3361114176709733
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,60,0.3353419554681659
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,61,0.3345836835982667
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,62,0.333836326902766
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,63,0.33309962068535043
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,64,0.33237331014986143
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,65,0.3316571498776201
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,66,0.3309509033407432
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,67,0.3302543424484186
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,68,0.3295672471234079
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,69,0.3288894049063038
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,70,0.3282206105853145
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,71,0.32756066584955223
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,72,0.32690937896399114
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,73,0.3262665644644317
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,74,0.32563204287095565
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,75,0.3250056404184891
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,76,0.32438718880322026
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,77,0.32377652494371695
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,78,0.32317349075569574
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,79,0.3225779329394776
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,80,0.321989702779251
learning_rate_sensitivity,SGD,0.005,,0.0001,42,80,1,0.436707540859596
